"authid","discipline","collaborator","collaborate_paper_n","n_paper","authname","firstname"
56997681300,"STEM",4,133,133,"Delgado Kloos C.","Delgado"
57204188440,"STEM",8,18,18,"García-Mato D.","García-Mato"
57196043185,"STEM",8,20,20,"García-Sevilla M.","García-Sevilla"
39863441100,"STEM",8,2,2,"Porras A.R.","Porras"
22635660500,"STEM",8,8,8,"Ochandiano S.","Ochandiano"
57211039895,"STEM",8,2,2,"Darriba-Allés J.V.","Darriba-Allés"
6508270659,"STEM",8,4,4,"García-Leal R.","García-Leal"
36881109200,"STEM",8,4,4,"Salmerón J.I.","Salmerón"
35588324900,"STEM",8,2,2,"Linguraru M.G.","Linguraru"
6603062222,"STEM",8,53,54,"Pascau J.","Pascau"
55664924900,"STEM",14,4,4,"Moreolo M.S.","Moreolo"
7003804280,"STEM",14,4,4,"Fabrega J.M.","Fabrega"
35111716100,"STEM",14,4,4,"Nadal L.","Nadal"
55926814100,"STEM",14,5,5,"Martinez R.","Martinez"
24342919100,"STEM",14,9,9,"Casellas R.","Casellas"
55372795600,"STEM",14,3,3,"Vilchez J.","Vilchez"
14032184500,"STEM",14,4,4,"Munoz R.","Munoz"
6701800953,"STEM",14,3,3,"Vilalta R.","Vilalta"
24528349000,"STEM",14,3,3,"Gatto A.","Gatto"
6602880363,"STEM",14,3,3,"Parolari P.","Parolari"
7003364656,"STEM",14,3,3,"Boffi P.","Boffi"
24528978100,"STEM",14,2,2,"Neumeyr C.","Neumeyr"
7801382699,"STEM",14,41,41,"Larrabeiti D.","Larrabeiti"
57196027231,"STEM",14,9,9,"Otero G.","Otero"
23484773500,"STEM",14,6,6,"Fernandez-Palacios J.P.","Fernandez-Palacios"
7004830384,"STEM",3,28,28,"Moscoso M.","Moscoso"
56990744000,"STEM",3,13,13,"Novikov A.","Novikov"
35549279200,"STEM",3,17,17,"Papanicolaou G.","Papanicolaou"
6603498275,"STEM",3,17,17,"Tsogka C.","Tsogka"
37096880000,"STEM",2,16,16,"García-Olaya A.","García-Olaya"
36889343800,"STEM",2,12,12,"de la Rosa T.","de"
6603908284,"STEM",2,28,28,"Borrajo D.","Borrajo"
57210235208,"STEM",2,2,2,"Bógalo J.","Bógalo"
7801595092,"STEM",2,6,6,"Poncela P.","Poncela"
14919941300,"STEM",2,2,2,"Senra E.","Senra"
26421913600,"STEM",4,40,40,"Belloch J.A.","Belloch"
18133981900,"STEM",4,14,14,"León G.","León"
7006074502,"STEM",4,24,24,"Badía J.M.","Badía"
21834031600,"STEM",4,64,64,"Lindoso A.","Lindoso"
57203716657,"STEM",4,4,4,"San Millan E.","San"
19639262200,"STEM",2,127,127,"Reviriego P.","Reviriego"
57199490373,"STEM",2,12,12,"Martinez J.","Martinez"
23482610400,"STEM",2,5,5,"Ottavi M.","Ottavi"
34873266800,"STEM",3,2,2,"Pérez M.A.","Pérez"
55207370200,"STEM",3,31,31,"Pernas-Sánchez J.","Pernas-Sánchez"
55355305100,"STEM",3,31,31,"Artero-Guerrero J.A.","Artero-Guerrero"
57189868191,"STEM",3,2,2,"Serra-López R.","Serra-López"
56506507200,"STEM",0,6,11,"Gallego J.I.","Gallego"
57205323693,"STEM",2,1,1,"Golzio A.C.","Golzio"
57211278244,"STEM",2,5,5,"Puerta-Díaz M.","Puerta-Díaz"
55164743300,"STEM",2,34,34,"Martínez-Ávila D.","Martínez-Ávila"
57212468284,"STEM",2,2,2,"Ibekwe F.","Ibekwe"
57386879800,"STEM",2,2,2,"Bochi F.","Bochi"
55164743300,"STEM",2,34,34,"Martínez-Ávila D.","Martínez-Ávila"
6505915221,"STEM",3,6,6,"Yousfi A.E.L.","Yousfi"
56600879200,"STEM",3,8,8,"Lamkaddem A.","Lamkaddem"
57422482100,"STEM",3,24,24,"Abdalmalak K.A.","Abdalmalak"
6603491449,"STEM",3,48,48,"Segovia-Vargas D.","Segovia-Vargas"
57210995304,"STEM",5,4,4,"Iqbal H.","Iqbal"
57126952000,"STEM",5,11,11,"Campo D.","Campo"
57190806708,"STEM",5,26,26,"Marin-Plaza P.","Marin-Plaza"
6603377664,"STEM",5,27,27,"Marcenaro L.","Marcenaro"
57204878586,"STEM",5,24,24,"Gomez D.M.","Gomez"
35513672400,"STEM",5,24,24,"Regazzoni C.","Regazzoni"
56802927400,"STEM",2,44,44,"Liu S.","Liu"
19639262200,"STEM",2,127,127,"Reviriego P.","Reviriego"
35464058100,"STEM",2,46,46,"Lombardi F.","Lombardi"
57215349473,"STEM",4,5,5,"Barrera A.","Barrera"
57201860819,"STEM",4,12,12,"Beltran J.","Beltran"
57197736787,"STEM",4,25,25,"Guindel C.","Guindel"
55751744105,"STEM",4,36,36,"Iglesias J.A.","Iglesias"
14015459700,"STEM",4,74,74,"Garcia F.","Garcia"
57208652438,"STEM",5,28,28,"Marín-López A.","Marín-López"
53866205300,"STEM",5,23,23,"Arias-Cabarcos P.","Arias-Cabarcos"
12345634500,"STEM",5,1,1,"Strufe T.","Strufe"
57358174500,"STEM",5,1,1,"Barceló-Soteras G.","Barceló-Soteras"
23011378500,"STEM",5,26,26,"Díaz-Sanchez D.","Díaz-Sanchez"
57441557000,"STEM",5,1,1,"Almenares-Mendoza F.","Almenares-Mendoza"
57221495686,"STEM",8,74,74,"Ahmad S.","Ahmad"
35183827900,"STEM",8,9,9,"Paracha K.N.","Paracha"
55546081200,"STEM",8,8,8,"Sheikh Y.A.","Sheikh"
57202292531,"STEM",8,52,52,"Ghaffar A.","Ghaffar"
55961865500,"STEM",8,2,2,"Butt A.D.","Butt"
57192946347,"STEM",8,148,148,"Alibakhshikenari M.","Alibakhshikenari"
56456741800,"STEM",8,3,3,"Soh P.J.","Soh"
57226597191,"STEM",8,37,37,"Khan S.","Khan"
24467846500,"STEM",8,32,32,"Falcone F.","Falcone"
9333506100,"STEM",1,45,45,"Rodriguez-Amenedo J.L.","Rodriguez-Amenedo"
22940466300,"STEM",1,47,47,"Gomez S.A.","Gomez"
57217702772,"STEM",3,9,9,"Amigo D.","Amigo"
57217861328,"STEM",3,5,5,"Sánchez Pedroche D.","Sánchez"
57194141201,"STEM",3,39,39,"García J.","García"
35392131900,"STEM",3,106,106,"Molina J.M.","Molina"
9333506100,"STEM",3,45,45,"Rodriguez-Amenedo J.L.","Rodriguez-Amenedo"
22940466300,"STEM",3,47,47,"Gomez S.A.","Gomez"
57218845915,"STEM",3,5,5,"Martinez J.C.","Martinez"
35247636400,"STEM",3,20,20,"Alonso-Martinez J.","Alonso-Martinez"
6701308500,"STEM",1,40,41,"Sanz-Serna J.M.","Sanz-Serna"
22936550800,"STEM",1,5,5,"Zygalakis K.C.","Zygalakis"
57196043185,"STEM",6,20,20,"Garcia-Sevilla M.","Garcia-Sevilla"
55234981700,"STEM",6,13,13,"Mediavilla-Santos L.","Mediavilla-Santos"
57204185872,"STEM",6,19,19,"Moreta-Martinez R.","Moreta-Martinez"
57204188440,"STEM",6,18,18,"Garcia-Mato D.","Garcia-Mato"
25655281700,"STEM",6,18,18,"Perez-Mananes R.","Perez-Mananes"
15043520500,"STEM",6,18,18,"Calvo-Haro J.A.","Calvo-Haro"
6603062222,"STEM",6,53,54,"Pascau J.","Pascau"
35103566800,"STEM",3,18,18,"Stefanovic C.","Stefanovic"
26026085600,"STEM",3,7,7,"Panic S.","Panic"
12243715900,"STEM",3,4,4,"Bhatia V.","Bhatia"
57206866061,"STEM",3,4,4,"Kumar N.","Kumar"
54790580700,"STEM",3,40,40,"Carreras B.A.","Carreras"
7003484590,"STEM",3,5,5,"Colet P.","Colet"
55250043200,"STEM",3,28,28,"Reynolds-Barredo J.M.","Reynolds-Barredo"
6603510386,"STEM",3,5,5,"Gomila D.","Gomila"
57202603679,"STEM",5,14,14,"Antevski K.","Antevski"
57219163332,"STEM",5,2,2,"Girletti L.","Girletti"
13409521900,"STEM",5,71,71,"Bernardos C.J.","Bernardos"
14524378400,"STEM",5,59,59,"De La Oliva A.","De"
25824713000,"STEM",5,11,11,"Baranda J.","Baranda"
15923494300,"STEM",5,20,20,"Mangues-Bafalluy J.","Mangues-Bafalluy"
57203557490,"STEM",3,3,3,"Lopez-Vargas A.","Lopez-Vargas"
6507061932,"STEM",3,44,44,"Ledezma A.","Ledezma"
57222056365,"STEM",3,2,2,"Bott J.","Bott"
7004052541,"STEM",3,57,57,"Sanchis A.","Sanchis"
36662381400,"STEM",7,10,10,"Lalbakhsh A.","Lalbakhsh"
57190759797,"STEM",7,2,2,"Mohamadpour G.","Mohamadpour"
57866519700,"STEM",7,2,2,"Roshani S.","Roshani"
57263225300,"STEM",7,2,2,"Ami M.","Ami"
37124779400,"STEM",7,2,2,"Roshani S.","Roshani"
57205452683,"STEM",7,2,2,"Sayem A.S.M.","Sayem"
57192946347,"STEM",7,148,148,"Alibakhshikenari M.","Alibakhshikenari"
57204542925,"STEM",7,10,10,"Koziel S.","Koziel"
57257067300,"STEM",2,2,2,"De Oliveira Lucas E.R.","De"
55578068700,"STEM",2,10,14,"Aguado-Guadalupe G.","Aguado-Guadalupe"
55578779800,"STEM",2,7,11,"Herrero-Curiel E.","Herrero-Curiel"
57209417828,"STEM",9,2,2,"Sehrai D.A.","Sehrai"
57616259400,"STEM",9,12,12,"Asif M.","Asif"
57204531833,"STEM",9,5,5,"Shah W.A.","Shah"
57192372314,"STEM",9,3,3,"Khan J.","Khan"
57210710107,"STEM",9,5,5,"Ullah I.","Ullah"
7801542125,"STEM",9,4,4,"Ibrar M.","Ibrar"
54383354100,"STEM",9,2,2,"Jan S.","Jan"
57192946347,"STEM",9,148,148,"Alibakhshikenari M.","Alibakhshikenari"
24467846500,"STEM",9,32,32,"Falcone F.","Falcone"
7003359891,"STEM",9,42,42,"Limiti E.","Limiti"
57224173192,"STEM",3,5,5,"Gimenez-Aguilar M.","Gimenez-Aguilar"
24512079900,"STEM",3,48,48,"De Fuentes J.M.","De"
55440727300,"STEM",3,49,49,"Gonzalez-Manzano L.","Gonzalez-Manzano"
56414371100,"STEM",3,39,39,"Camara C.","Camara"
57227886100,"STEM",4,2,2,"Rios J.L.G.","Rios"
58493250400,"STEM",4,16,16,"Gomez J.T.","Gomez"
57224751786,"STEM",4,2,2,"Sharma R.K.","Sharma"
8897738000,"STEM",4,5,5,"Dressler F.","Dressler"
57390300400,"STEM",4,39,39,"Garcia M.J.F.G.","Garcia"
57226886209,"STEM",1,2,2,"Muntane I.P.","Muntane"
57390300400,"STEM",1,39,39,"Fernandez-Getino Garcia M.J.","Fernandez-Getino"
57205435787,"STEM",2,3,3,"Aradillas J.C.","Aradillas"
6603073163,"STEM",2,12,12,"Murillo-Fuentes J.J.","Murillo-Fuentes"
36348622200,"STEM",2,50,50,"Olmos P.M.","Olmos"
57217227871,"STEM",3,4,4,"Torres P.R.","Torres"
8910925900,"STEM",3,15,15,"Garcia-Martinez A.","Garcia-Martinez"
8910926300,"STEM",3,23,23,"Bagnulo M.","Bagnulo"
8339159800,"STEM",3,3,3,"Ribeiro E.P.","Ribeiro"
19639262200,"STEM",3,127,127,"Reviriego P.","Reviriego"
23398740500,"STEM",3,15,15,"Sanchez-Macian A.","Sanchez-Macian"
56802927400,"STEM",3,44,44,"Liu S.","Liu"
35464058100,"STEM",3,46,46,"Lombardi F.","Lombardi"
57217383685,"STEM",3,7,7,"Urquiza Villalonga D.A.","Urquiza"
55921833000,"STEM",3,7,7,"Riera-Palou F.","Riera-Palou"
57390300400,"STEM",3,39,39,"Fernández-Getino García M.J.","Fernández-Getino"
7003374416,"STEM",3,7,7,"Femenias G.","Femenias"
58493250400,"STEM",3,16,16,"Torres Gomez J.","Torres"
57223130506,"STEM",3,5,5,"Jerez Naranjo Y.","Jerez"
8897738000,"STEM",3,5,5,"Dressler F.","Dressler"
57390300400,"STEM",3,39,39,"Fernandez-Getino Garcia M.J.","Fernandez-Getino"
57203730752,"STEM",15,14,14,"Li X.","Li"
50061248400,"STEM",15,22,22,"Guimaraes C.","Guimaraes"
24828948800,"STEM",15,6,6,"Landi G.","Landi"
57215220491,"STEM",15,6,6,"Brenes J.","Brenes"
15923494300,"STEM",15,20,20,"Mangues-Bafalluy J.","Mangues-Bafalluy"
25824713000,"STEM",15,11,11,"Baranda J.","Baranda"
23008345900,"STEM",15,7,7,"Corujo D.","Corujo"
57190436611,"STEM",15,2,2,"Cunha V.","Cunha"
57226437982,"STEM",15,2,2,"Fonseca J.","Fonseca"
57217245313,"STEM",15,2,2,"Alegria J.","Alegria"
57202611515,"STEM",15,9,9,"Orive A.Z.","Orive"
57194281495,"STEM",15,4,4,"Ordonez-Lucena J.","Ordonez-Lucena"
7801589930,"STEM",15,15,15,"Iovanna P.","Iovanna"
13409521900,"STEM",15,71,71,"Bernardos C.J.","Bernardos"
24475169700,"STEM",15,20,20,"Mourad A.","Mourad"
11939775200,"STEM",15,51,51,"Costa-Perez X.","Costa-Perez"
57211777943,"STEM",1,9,9,"Garcia-Martin R.","Garcia-Martin"
6701386871,"STEM",1,52,53,"Sanchez-Reillo R.","Sanchez-Reillo"
57206656579,"STEM",3,12,12,"Groshev M.","Groshev"
50061248400,"STEM",3,22,22,"Guimaraes C.","Guimaraes"
14524378400,"STEM",3,59,59,"De La Oliva A.","De"
36439404900,"STEM",3,9,9,"Gazda R.","Gazda"
57192272859,"STEM",0,12,17,"Fernández-Castrillo C.","Fernández-Castrillo"
57196485153,"STEM",6,2,2,"Olvera A.D.J.F.","Olvera"
57226168519,"STEM",6,2,2,"Krause B.L.","Krause"
55832357800,"STEM",6,8,8,"Betancur-Perez A.","Betancur-Perez"
57196740268,"STEM",6,2,2,"Nandi U.","Nandi"
12238994000,"STEM",6,26,26,"De Dios C.","De"
6601954386,"STEM",6,72,72,"Acedo P.","Acedo"
14056842500,"STEM",6,8,8,"Preu S.","Preu"
57203536791,"STEM",4,30,30,"Maroto-Gomez M.","Maroto-Gomez"
57679020700,"STEM",4,2,2,"Gonzalez R.","Gonzalez"
36655483500,"STEM",4,62,62,"Castro-Gonzalez A.","Castro-Gonzalez"
8613265500,"STEM",4,56,56,"Malfaz M.","Malfaz"
6603829011,"STEM",4,81,81,"Salichs M.A.","Salichs"
57225091639,"STEM",0,10,12,"De La Escalera Hueso A.","De"
56723347100,"STEM",2,21,23,"Gómez-Silva M.J.","Gómez-Silva"
6602500615,"STEM",2,82,82,"De La Escalera A.","De"
35606912100,"STEM",2,70,70,"Armingol J.M.","Armingol"
57204852050,"STEM",2,4,4,"Martín C.","Martín"
36913737100,"STEM",2,49,49,"Quintana D.","Quintana"
57205609574,"STEM",2,16,16,"Isasi P.","Isasi"
57219289030,"STEM",3,22,22,"Morato J.","Morato"
8704705100,"STEM",3,24,24,"Iglesias A.","Iglesias"
57218384975,"STEM",3,3,3,"Campillo A.","Campillo"
23393875600,"STEM",3,11,11,"Sanchez-Cuadrado S.","Sanchez-Cuadrado"
9333506100,"STEM",3,45,45,"Amenedo J.L.R.","Amenedo"
22940466300,"STEM",3,47,47,"Gomez S.A.","Gomez"
35247636400,"STEM",3,20,20,"Alonso-Martinez J.","Alonso-Martinez"
57218847474,"STEM",3,5,5,"De Armas M.G.","De"
57216221965,"STEM",4,6,6,"Gonzalez-Diaz S.","Gonzalez-Diaz"
57224194309,"STEM",4,2,2,"Marks R.","Marks"
50262952600,"STEM",4,8,8,"Rojas E.","Rojas"
14524378400,"STEM",4,59,59,"De La Oliva A.","De"
36439404900,"STEM",4,9,9,"Gazda R.","Gazda"
57204516018,"STEM",2,7,7,"Perez-Rosa D.","Perez-Rosa"
7202889128,"STEM",2,30,30,"Garcia B.","Garcia"
7005353166,"STEM",2,31,31,"Burgos J.C.","Burgos"
57214652964,"STEM",4,2,2,"Berges A.","Berges"
57224122080,"STEM",4,2,2,"Ramirez P.","Ramirez"
24833218800,"STEM",4,2,2,"Pau I.","Pau"
57202057062,"STEM",4,2,2,"Tejero A.","Tejero"
57207533415,"STEM",4,24,24,"Crespo A.G.","Crespo"
57223971250,"STEM",3,7,7,"Molina E.D.","Molina"
55710271900,"STEM",3,167,172,"Rodríguez J.M.","Rodríguez"
57195104485,"STEM",3,11,11,"Sánchez J.L.","Sánchez"
10241618100,"STEM",3,116,116,"Sigarreta J.M.","Sigarreta"
7201384106,"STEM",1,20,22,"Salas J.","Salas"
7003946479,"STEM",1,6,6,"Sokal A.D.","Sokal"
57204191674,"STEM",4,27,27,"Sanchez-Aguero V.","Sanchez-Aguero"
57211266721,"STEM",4,11,11,"Gonzalez L.F.","Gonzalez"
15124978700,"STEM",4,45,45,"Valera F.","Valera"
15125120200,"STEM",4,52,52,"Vidal I.","Vidal"
57223381711,"STEM",4,3,3,"da Silva R.A.L.","da"
55026465400,"STEM",1,4,4,"Milovanovic I.","Milovanovic"
35103566800,"STEM",1,18,18,"Stefanovic C.","Stefanovic"
57201362417,"STEM",2,9,9,"Hernandez-Vicen J.","Hernandez-Vicen"
56250315700,"STEM",2,29,29,"Martinez S.","Martinez"
6701864168,"STEM",2,116,116,"Balaguer C.","Balaguer"
57205320463,"STEM",56,2,2,"Lowe C.","Lowe"
57191848094,"STEM",56,2,2,"Ortega-Gil A.","Ortega-Gil"
57201151336,"STEM",56,2,2,"Moghiseh M.","Moghiseh"
7402524179,"STEM",56,2,2,"Anderson N.G.","Anderson"
14629229900,"STEM",56,39,39,"Munoz-Barrutia A.","Munoz-Barrutia"
15763461400,"STEM",56,25,25,"Vaquero J.J.","Vaquero"
57196349285,"STEM",56,2,2,"Raja A.Y.","Raja"
57211243975,"STEM",56,2,2,"Matanaghi A.","Matanaghi"
55917439800,"STEM",56,2,2,"Chernoglazov A.I.","Chernoglazov"
57223144280,"STEM",56,2,2,"Dapamede T.","Dapamede"
57195464486,"STEM",56,2,2,"Adebileje S.A.","Adebileje"
57211243559,"STEM",56,2,2,"Alexander S.","Alexander"
57211242230,"STEM",56,2,2,"Amma M.R.","Amma"
55096957800,"STEM",56,2,2,"Anjomrouz M.","Anjomrouz"
57211239271,"STEM",56,2,2,"Asghariomabad F.","Asghariomabad"
54382733100,"STEM",56,2,2,"Atharifard A.","Atharifard"
13008020400,"STEM",56,2,2,"Atlas J.","Atlas"
57203928617,"STEM",56,2,2,"Baer K.","Baer"
55505526200,"STEM",56,2,2,"Bell S.T.","Bell"
57207209705,"STEM",56,2,2,"Bheesette S.","Bheesette"
35221128500,"STEM",56,2,2,"Butler P.H.","Butler"
23092975000,"STEM",56,2,2,"Carbonez P.","Carbonez"
57211241878,"STEM",56,2,2,"Chambers C.","Chambers"
57223159326,"STEM",56,2,2,"Chapagain K.M.","Chapagain"
57213418844,"STEM",56,2,2,"Clark J.A.","Clark"
57219938885,"STEM",56,2,2,"Colgan F.","Colgan"
57213419153,"STEM",56,2,2,"Crighton J.S.","Crighton"
57211237543,"STEM",56,2,2,"Dahal S.","Dahal"
8852813000,"STEM",56,2,2,"Damet J.","Damet"
35745622100,"STEM",56,2,2,"De Ruiter N.J.A.","De"
36639246200,"STEM",56,2,2,"Doesburg R.M.N.","Doesburg"
57211242657,"STEM",56,2,2,"Duncan N.","Duncan"
56880379100,"STEM",56,2,2,"Ghodsian N.","Ghodsian"
6603995496,"STEM",56,2,2,"Gieseg S.P.","Gieseg"
57192814130,"STEM",56,2,2,"Goulter B.P.","Goulter"
57208837285,"STEM",56,2,2,"Gurney S.","Gurney"
56052066300,"STEM",56,2,2,"Healy J.L.","Healy"
57211239198,"STEM",56,2,2,"Kanithi P.K.","Kanithi"
57194498216,"STEM",56,2,2,"Kirkbride T.","Kirkbride"
6603579430,"STEM",56,2,2,"Lansley S.P.","Lansley"
56120223700,"STEM",56,2,2,"Mandalika V.B.H.","Mandalika"
57211244042,"STEM",56,2,2,"Marfo E.","Marfo"
56431420200,"STEM",56,2,2,"Palmer D.","Palmer"
55916629500,"STEM",56,2,2,"Panta R.K.","Panta"
57190063057,"STEM",56,2,2,"Prebble H.M.","Prebble"
7103298301,"STEM",56,2,2,"Renaud P.","Renaud"
57213421443,"STEM",56,2,2,"Sayous Y.","Sayous"
35747055600,"STEM",56,2,2,"Schleich N.","Schleich"
57201473638,"STEM",56,2,2,"Searle E.","Searle"
57211243261,"STEM",56,2,2,"Sheeja J.S.","Sheeja"
57192804892,"STEM",56,2,2,"Broeke L.V.","Broeke"
57211241917,"STEM",56,2,2,"Vivek V.S.","Vivek"
57213393272,"STEM",56,2,2,"Walker E.P.","Walker"
37029226200,"STEM",56,2,2,"Walsh M.F.","Walsh"
57211237916,"STEM",56,2,2,"Wijesooriya M.","Wijesooriya"
57213418914,"STEM",56,2,2,"Younger W.R.","Younger"
8311374000,"STEM",56,2,2,"Butler A.P.H.","Butler"
57188657304,"STEM",1,38,38,"Amor-Martin A.","Amor-Martin"
35563049800,"STEM",1,44,44,"Garcia-Castillo L.E.","Garcia-Castillo"
57210098653,"STEM",2,11,11,"Alarcon R.","Alarcon"
7101696703,"STEM",2,44,44,"Moreno L.","Moreno"
7202906176,"STEM",2,59,59,"Martínez P.","Martínez"
7004830384,"STEM",3,28,28,"Moscoso M.","Moscoso"
56990744000,"STEM",3,13,13,"Novikov A.","Novikov"
35549279200,"STEM",3,17,17,"Papanicolaou G.","Papanicolaou"
6603498275,"STEM",3,17,17,"Tsogka C.","Tsogka"
57222256636,"STEM",4,1,1,"Abreha H.G.","Abreha"
13409521900,"STEM",4,71,71,"Bernardos C.J.","Bernardos"
14524378400,"STEM",4,59,59,"de la Oliva A.","de"
36634005000,"STEM",4,16,16,"Cominardi L.","Cominardi"
6701459097,"STEM",4,34,34,"Azcorra A.","Azcorra"
57211278244,"STEM",4,5,5,"Puerta-Díaz M.","Puerta-Díaz"
57222170979,"STEM",4,2,2,"De Mira B.S.","De"
55164743300,"STEM",4,34,34,"Martínez-Ávila D.","Martínez-Ávila"
25960289300,"STEM",4,8,8,"Ovalle-Perandones M.A.","Ovalle-Perandones"
55079980300,"STEM",4,13,13,"Grácio M.C.C.","Grácio"
57205074802,"STEM",6,5,5,"Galve P.","Galve"
6701483306,"STEM",6,13,13,"Udias J.M.","Udias"
57193341166,"STEM",6,5,5,"Lopez-Montes A.","Lopez-Montes"
57211522696,"STEM",6,2,2,"Arias-Valcayo F.","Arias-Valcayo"
15763461400,"STEM",6,25,25,"Vaquero J.J.","Vaquero"
35602555600,"STEM",6,48,48,"Desco M.","Desco"
14522681300,"STEM",6,12,12,"Herraiz J.L.","Herraiz"
8546141600,"STEM",3,3,3,"Rizzo G.","Rizzo"
57203963119,"STEM",3,2,2,"Perez Palma N.","Perez"
7006441091,"STEM",3,4,4,"Ajmone Marsan M.","Ajmone"
36852286300,"STEM",3,32,32,"Mancuso V.","Mancuso"
55710271900,"STEM",1,167,172,"Rodríguez J.M.","Rodríguez"
10241618100,"STEM",1,116,116,"Sigarreta J.M.","Sigarreta"
57143182900,"STEM",5,7,7,"Martín A.","Martín"
16021849300,"STEM",5,39,39,"González-Carrasco I.","González-Carrasco"
56732878000,"STEM",5,1,1,"Rodriguez-Fernandez V.","Rodriguez-Fernandez"
57213605514,"STEM",5,5,5,"Souto-Rico M.","Souto-Rico"
7003774102,"STEM",5,2,2,"Camacho D.","Camacho"
6507597856,"STEM",5,27,27,"Ruiz-Mezcua B.","Ruiz-Mezcua"
15019183300,"STEM",1,5,5,"Giardini F.","Giardini"
8627831400,"STEM",1,17,17,"Vilone D.","Vilone"
57204188642,"STEM",8,14,14,"Laria J.C.","Laria"
55362556200,"STEM",8,29,29,"Aguilera-Morillo M.C.","Aguilera-Morillo"
57197027809,"STEM",8,3,3,"Álvarez E.","Álvarez"
35320176800,"STEM",8,52,52,"Lillo R.E.","Lillo"
57221719541,"STEM",8,3,3,"López-Taruella S.","López-Taruella"
9738794700,"STEM",8,3,3,"Del Monte-Millán M.","Del"
37034778300,"STEM",8,3,3,"Picornell A.C.","Picornell"
7004415095,"STEM",8,3,3,"Martín M.","Martín"
7005273208,"STEM",8,25,25,"Romo J.","Romo"
57221700109,"STEM",2,5,5,"Scheffauer R.","Scheffauer"
56118529700,"STEM",2,88,103,"Goyanes M.","Goyanes"
26632759000,"STEM",2,27,27,"Gil de Zúñiga H.","Gil"
57211775009,"STEM",3,5,5,"Bonilla-Escribano P.","Bonilla-Escribano"
57192768373,"STEM",3,42,42,"Ramírez D.","Ramírez"
57196944371,"STEM",3,5,5,"Porras-Segovia A.","Porras-Segovia"
6603954601,"STEM",3,33,33,"Artés-Rodríguez A.","Artés-Rodríguez"
57201250435,"STEM",4,13,13,"Garcia-Haro J.M.","Garcia-Haro"
57195278252,"STEM",4,25,25,"Oña E.D.","Oña"
57201362417,"STEM",4,9,9,"Hernandez-Vicen J.","Hernandez-Vicen"
56250315700,"STEM",4,29,29,"Martinez S.","Martinez"
6701864168,"STEM",4,116,116,"Balaguer C.","Balaguer"
57209225920,"STEM",3,4,4,"Pastor A.","Pastor"
17434137900,"STEM",3,46,46,"Cuevas R.","Cuevas"
17433943300,"STEM",3,40,40,"Cuevas A.","Cuevas"
6701459097,"STEM",3,34,34,"Azcorra A.","Azcorra"
36602756100,"STEM",3,3,3,"Kaschel H.","Kaschel"
57201058738,"STEM",3,5,5,"Toledo K.","Toledo"
58493250400,"STEM",3,16,16,"Gomez J.T.","Gomez"
57390300400,"STEM",3,39,39,"Garcia M.J.F.G.","Garcia"
57221286669,"STEM",5,3,3,"García-Molina S.","García-Molina"
35179059300,"STEM",5,89,92,"Alario-Hoyos C.","Alario-Hoyos"
57201465612,"STEM",5,34,34,"Moreno-Marcos P.M.","Moreno-Marcos"
15136847800,"STEM",5,100,100,"Muñoz-Merino P.J.","Muñoz-Merino"
57198802287,"STEM",5,32,32,"Estévez-Ayres I.","Estévez-Ayres"
56997681300,"STEM",5,133,133,"Kloos C.D.","Kloos"
57215213212,"STEM",3,15,15,"Hernández-álvarez L.","Hernández-álvarez"
24512079900,"STEM",3,48,48,"de Fuentes J.M.","de"
55440727300,"STEM",3,49,49,"González-Manzano L.","González-Manzano"
57191693382,"STEM",3,12,12,"Encinas L.H.","Encinas"
57201451192,"STEM",3,13,13,"Cabañas J.G.","Cabañas"
17433943300,"STEM",3,40,40,"Cuevas Á.","Cuevas"
57218582381,"STEM",3,5,5,"Arrate A.","Arrate"
17434137900,"STEM",3,46,46,"Cuevas R.","Cuevas"
56802927400,"STEM",2,44,44,"Liu S.","Liu"
19639262200,"STEM",2,127,127,"Reviriego P.","Reviriego"
35464058100,"STEM",2,46,46,"Lombardi F.","Lombardi"
57204350915,"STEM",4,6,6,"Derner E.","Derner"
57188849989,"STEM",4,20,20,"Gomez C.","Gomez"
57190425088,"STEM",4,20,20,"Hernandez A.C.","Hernandez"
7201418416,"STEM",4,62,62,"Barber R.","Barber"
24723543100,"STEM",4,6,6,"Babuška R.","Babuška"
57204188440,"STEM",8,18,18,"García-Mato D.","García-Mato"
57204185872,"STEM",8,19,19,"Moreta-Martínez R.","Moreta-Martínez"
57196043185,"STEM",8,20,20,"García-Sevilla M.","García-Sevilla"
22635660500,"STEM",8,8,8,"Ochandiano S.","Ochandiano"
6508270659,"STEM",8,4,4,"García-Leal R.","García-Leal"
25655281700,"STEM",8,18,18,"Pérez-Mañanes R.","Pérez-Mañanes"
15043520500,"STEM",8,18,18,"Calvo-Haro J.A.","Calvo-Haro"
36881109200,"STEM",8,4,4,"Salmerón J.I.","Salmerón"
6603062222,"STEM",8,53,54,"Pascau J.","Pascau"
57205532529,"STEM",3,3,3,"Martinez-Martinez C.T.","Martinez-Martinez"
6602587828,"STEM",3,20,20,"Mendez-Bermudez J.A.","Mendez-Bermudez"
55710271900,"STEM",3,167,172,"Rodriguez J.M.","Rodriguez"
10241618100,"STEM",3,116,116,"Sigarreta J.M.","Sigarreta"
56208992600,"STEM",3,19,19,"Díaz-Álvarez A.","Díaz-Álvarez"
