"authid","discipline","collaborator","collaborate_paper_n","n_paper","authname","firstname"
57391247200,"HSS",24,2,2,"de la Paz P.N.","de"
58283366700,"HSS",24,2,2,"Calle J.F.","Calle"
26632534500,"HSS",24,2,2,"Salinas V.C.","Salinas"
55203697600,"HSS",24,2,2,"Logie I.","Logie"
26036296700,"HSS",24,2,2,"Barrionuevo C.R.","Barrionuevo"
58284170300,"HSS",24,2,2,"del Águila Gracey R.","del"
57771685500,"HSS",24,2,2,"Ramos V.L.A.","Ramos"
40661608700,"HSS",24,2,2,"Larrinaga C.","Larrinaga"
57202086508,"HSS",24,2,2,"Sánchez R.","Sánchez"
57219192443,"HSS",24,2,2,"Martínez M.B.","Martínez"
57189726231,"HSS",24,9,11,"Illán J.C.S.","Illán"
58284332500,"HSS",24,2,2,"Carral G.V.","Carral"
8240823100,"HSS",24,2,2,"Paradas M.F.","Paradas"
58283688800,"HSS",24,2,2,"Piedrahita J.","Piedrahita"
58284332600,"HSS",24,2,2,"Añez P.C.S.","Añez"
56121901700,"HSS",24,2,2,"Schulze F.","Schulze"
57211580739,"HSS",24,2,2,"Peters M.","Peters"
57222328606,"HSS",24,2,2,"Baldizón A.","Baldizón"
58284170600,"HSS",24,2,2,"Dávila L.D.A.","Dávila"
26631847500,"HSS",24,2,2,"Cuervo A.S.","Cuervo"
58284012400,"HSS",24,2,2,"Feldmeier L.","Feldmeier"
37083049900,"HSS",0,2,7,"Carrera P.","Carrera"
58115140600,"HSS",1,2,2,"Núñez Sánchez F.","Núñez"
36880378500,"HSS",1,12,12,"Serra M.","Serra"
57208659847,"HSS",3,2,2,"Rajkó A.","Rajkó"
55836133800,"HSS",3,4,4,"Herendy C.","Herendy"
56118529700,"HSS",3,88,103,"Goyanes M.","Goyanes"
57194760759,"HSS",3,34,34,"Demeter M.","Demeter"
57211317884,"HSS",2,6,6,"Tóth T.","Tóth"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
57194760759,"HSS",2,34,34,"Demeter M.","Demeter"
15136847800,"HSS",5,100,100,"Muñoz-Merino P.J.","Muñoz-Merino"
57201465612,"HSS",5,34,34,"Moreno-Marcos P.M.","Moreno-Marcos"
57209295029,"HSS",5,6,6,"Rubio-Fernández A.","Rubio-Fernández"
57193766658,"HSS",5,15,15,"Tsai Y.S.","Tsai"
8549413500,"HSS",5,17,17,"Gašević D.","Gašević"
56997681300,"HSS",5,133,133,"Delgado Kloos C.","Delgado"
51663922100,"HSS",0,3,5,"Maciá-Barber C.","Maciá-Barber"
57221465895,"HSS",0,2,7,"de La Escosura L.P.","de"
57221465895,"HSS",0,2,7,"De La Escosura L.P.","De"
57217036777,"HSS",1,3,4,"Luena López C.","Luena"
57189726231,"HSS",1,9,11,"Sánchez Illán J.C.","Sánchez"
57195252678,"HSS",4,16,16,"Fernández-Rodicio E.","Fernández-Rodicio"
57203536791,"HSS",4,30,30,"Maroto-Gómez M.","Maroto-Gómez"
36655483500,"HSS",4,62,62,"Castro-González Á.","Castro-González"
8613265500,"HSS",4,56,56,"Malfaz M.","Malfaz"
6603829011,"HSS",4,81,81,"Salichs M.","Salichs"
55982545400,"HSS",1,2,10,"Prados de la Escosura L.","Prados"
56144654500,"HSS",1,5,5,"Rodríguez-Caballero C.V.","Rodríguez-Caballero"
7102996233,"HSS",8,1,1,"Silva T.P.","Silva"
7006807219,"HSS",8,1,1,"de Oliveira D.","de"
7005146574,"HSS",8,1,1,"Veiga J.P.","Veiga"
7003357332,"HSS",8,1,1,"Lisboa V.","Lisboa"
56637668500,"HSS",8,1,1,"Carvalho J.","Carvalho"
6603680496,"HSS",8,1,1,"Barreiros M.A.","Barreiros"
55354962100,"HSS",8,1,1,"Coutinho M.L.","Coutinho"
56451129600,"HSS",8,7,7,"Salas-Colera E.","Salas-Colera"
57783650800,"HSS",8,1,1,"Vigário R.","Vigário"
36728265300,"HSS",3,6,6,"Sánchez F.","Sánchez"
24079774200,"HSS",3,48,48,"De Filippo D.","De"
56249462200,"HSS",3,2,2,"Blanco A.","Blanco"
57208638137,"HSS",3,6,6,"Lascurain M.L.","Lascurain"
57223088824,"HSS",1,2,2,"Álvarez I.V.","Álvarez"
55579370700,"HSS",1,5,7,"Serrano N.L.","Serrano"
56724217500,"HSS",1,24,24,"Labayen M.F.","Labayen"
55801250400,"HSS",1,3,3,"Oroz E.","Oroz"
55920264100,"HSS",1,11,13,"Cerdán J.","Cerdán"
56724217500,"HSS",1,24,24,"Labayen M.F.","Labayen"
51663443800,"HSS",1,28,28,"Herrera Damas S.","Herrera"
57200650213,"HSS",1,9,9,"Benítez de Gracia M.J.","Benítez"
55836133800,"HSS",3,4,4,"Herendy C.","Herendy"
57194760759,"HSS",3,34,34,"Demeter M.","Demeter"
57810368000,"HSS",3,2,2,"Simon S.","Simon"
56118529700,"HSS",3,88,103,"Goyanes M.","Goyanes"
55982545400,"HSS",2,2,10,"Prados de la Escosura L.","Prados"
23003417600,"HSS",2,7,9,"Álvarez-Nogal C.","Álvarez-Nogal"
36609210700,"HSS",2,5,11,"Santiago-Caballero C.","Santiago-Caballero"
56506507200,"HSS",0,6,11,"Gallego J.I.","Gallego"
55982545400,"HSS",0,2,10,"Prados De La Escosura L.","Prados"
6506618487,"HSS",1,1,1,"Sánchez-Alonso B.","Sánchez-Alonso"
36609210700,"HSS",1,5,11,"Santiago-Caballero C.","Santiago-Caballero"
57210096812,"HSS",7,14,14,"Benítez A.J.","Benítez"
55270703900,"HSS",7,3,3,"Souto X.P.","Souto"
54787281800,"HSS",7,6,6,"Armenteros M.","Armenteros"
57433325600,"HSS",7,1,1,"Stepanian E.M.","Stepanian"
57433179000,"HSS",7,1,1,"Cantos R.","Cantos"
57432753000,"HSS",7,1,1,"García-Villaraco M.","García-Villaraco"
25654383900,"HSS",7,1,1,"Solano J.","Solano"
57226565532,"HSS",7,2,2,"Manzanares Á.G.","Manzanares"
55880436400,"HSS",1,32,32,"Martínez-Cardama S.","Martínez-Cardama"
9844561800,"HSS",1,43,48,"Pacios A.R.","Pacios"
55885990400,"HSS",0,23,25,"Génova G.","Génova"
57221257151,"HSS",0,1,2,"Pérez M.O.","Pérez"
57221257453,"HSS",0,1,4,"Ramos A.G.","Ramos"
57221257453,"HSS",1,1,4,"Ramos A.G.","Ramos"
57221257151,"HSS",1,1,2,"Pérez M.O.","Pérez"
57194458129,"HSS",2,10,11,"Aranzubía A.","Aranzubía"
57219966019,"HSS",2,2,2,"Aguilar S.","Aguilar"
57189248337,"HSS",2,3,3,"Castro-De-Paz J.L.","Castro-De-Paz"
57192272859,"HSS",1,12,17,"Fernández-Castrillo C.","Fernández-Castrillo"
57961199400,"HSS",1,2,2,"López-Arza C.L.","López-Arza"
57192959445,"HSS",0,8,25,"Eiroa M.","Eiroa"
55578419900,"HSS",1,13,15,"Cedillo G.R.","Cedillo"
57832502300,"HSS",1,2,2,"Rodríguez E.F.","Rodríguez"
9844561800,"HSS",2,43,48,"Pacios A.R.","Pacios"
55837359500,"HSS",2,3,3,"Pulido M.P.","Pulido"
25958467700,"HSS",2,6,6,"Vianello M.","Vianello"
35573395700,"HSS",1,3,5,"Gasparini V.","Gasparini"
57212106601,"HSS",1,4,8,"López-Gómez J.C.","López-Gómez"
55578191300,"HSS",2,16,24,"Magallón-Rosa R.","Magallón-Rosa"
55906009700,"HSS",2,3,3,"Molina-Cañabate J.P.","Molina-Cañabate"
57063561200,"HSS",2,4,4,"Sánchez-Duarte J.M.","Sánchez-Duarte"
56724217500,"HSS",1,24,24,"Fernández Labayen M.","Fernández"
55643105300,"HSS",1,2,4,"Melero A.","Melero"
57454174300,"HSS",0,3,5,"Moreno E.T.","Moreno"
55982545400,"HSS",0,2,10,"Prados de la Escosura L.","Prados"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
57194760759,"HSS",2,34,34,"Demeter M.","Demeter"
57215855719,"HSS",2,2,2,"de Grado L.","de"
57212106601,"HSS",0,4,8,"López-Gómez J.C.","López-Gómez"
35573395700,"HSS",1,3,5,"Gasparini V.","Gasparini"
57203751365,"HSS",1,1,1,"Mastino A.","Mastino"
57221476469,"HSS",1,2,2,"Madkur F.N.","Madkur"
56315280900,"HSS",1,8,9,"Paletta F.C.","Paletta"
23003417600,"HSS",1,7,9,"Alvarez-Nogal C.","Alvarez-Nogal"
6506102163,"HSS",1,4,4,"Chamley C.","Chamley"
55982545400,"HSS",0,2,10,"Prados de la Escosura L.","Prados"
57562018100,"HSS",1,3,3,"Scola E.","Scola"
35303400800,"HSS",1,46,46,"Segura-Bedmar I.","Segura-Bedmar"
36609210700,"HSS",0,5,11,"Santiago-Caballero C.","Santiago-Caballero"
35107712100,"HSS",2,1,1,"Pablo-Martí F.","Pablo-Martí"
8561240500,"HSS",2,1,1,"Alañón-Pardo Á.","Alañón-Pardo"
23068973000,"HSS",2,19,21,"Sánchez A.","Sánchez"
36609210700,"HSS",0,5,11,"Santiago-Caballero C.","Santiago-Caballero"
26632759000,"HSS",2,27,27,"Gil de Zúñiga H.","Gil"
25649837500,"HSS",2,5,5,"Borah P.","Borah"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
